name,Has Tests (static),Tests in CI (configured),Tests in CI (recent runs),Coverage in CI (configured),Coverage Tool (configured),Test Tool (guess),Test Evidence,Coverage Latest (%),Coverage Mean (%),Coverage Best (%),Coverage Samples,Method,Latest Run ID,Latest Run Date
phira,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17353254835,2025-08-31T05:56:13Z
vagga,Yes,No,No,No,,cargo,files,,,,0,,,
uiua,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,17538175967,2025-09-08T02:50:17Z
rCore-Tutorial-v3,No,No,Yes,No,,,jobs,,,,0,,14665797636,2025-04-25T13:30:00Z
cached,Yes,No,No,No,,cargo,files,,,,0,,17591586301,2025-09-09T18:07:03Z
bayard,No,Yes,Yes,Yes,cargo/upload-artifact,cargo,jobs/workflow,,,,0,,17521493452,2025-09-07T00:34:08Z
ZoKrates,No,No,No,No,,,,,,,0,,,
typed-html,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17364007487,2025-09-01T00:04:01Z
rustc_codegen_cranelift,No,Yes,Yes,Yes,upload-artifact,,jobs/workflow,,,,0,,17547027371,2025-09-08T10:00:24Z
vizia,No,Yes,No,Yes,cargo,,workflow,,,,0,,17497273232,2025-09-05T15:18:10Z
nh,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17650899026,2025-09-11T16:25:32Z
verus,No,Yes,Yes,Yes,upload-artifact,,jobs/workflow,,,,0,,17645171123,2025-09-11T12:54:15Z
rust-csv,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17631342120,2025-09-11T01:33:21Z
rust-quiz,No,No,No,No,,,,,,,0,,17631911781,2025-09-11T02:11:14Z
grpc-rs,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17627996000,2025-09-10T22:04:50Z
dfdx,No,Yes,No,Yes,cargo/llvm-tools,cargo,workflow,,,,0,,,
vigil,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,12640521219,2025-01-06T21:19:22Z
miniquad,No,No,No,Yes,cargo,,workflow,,,,0,,17353909672,2025-08-31T07:07:40Z
adblock-rust,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,17647948990,2025-09-11T14:33:36Z
rust-rdkafka,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,17631019733,2025-09-11T01:12:48Z
datafusion-ballista,No,Yes,Yes,Yes,codecov/tarpaulin/upload-artifact,pytest,jobs/workflow,,,,0,,17654536305,2025-09-11T19:00:56Z
wasmi,No,Yes,No,Yes,codecov/report-file/tarpaulin/upload-artifact,cargo,files/workflow,68.74,68.74,68.75,5,artifacts:cobertura,17648801182,2025-09-11T15:04:39Z
rust-cpython,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,13289176236,2025-02-12T15:40:35Z
folderify,Yes,Yes,Yes,No,,cargo,files/jobs/workflow,,,,0,,15796337390,2025-06-21T13:47:32Z
hermit-rs,Yes,No,No,No,,cargo,files,,,,0,,17614208104,2025-09-10T12:47:06Z
scaphandre,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,17374205895,2025-09-01T09:57:54Z
xremap,No,Yes,Yes,Yes,upload-artifact,cargo,jobs/workflow,,,,0,,17649339511,2025-09-11T15:23:24Z
lol-html,Yes,Yes,No,No,,cargo,files/workflow,,,,0,,17650086120,2025-09-11T15:52:23Z
lapdev,No,Yes,No,Yes,upload-artifact,cargo,workflow,,,,0,,13619586780,2025-03-02T21:41:46Z
ractor,No,Yes,Yes,Yes,cargo/codecov/grcov/report-file,cargo,files/jobs/logs/workflow,82.48,87.14,88.89,11,checks,17642580908,2025-09-11T11:07:14Z
y-crdt,No,Yes,Yes,Yes,cargo/upload-artifact,cargo,jobs/workflow,,,,0,,17034922210,2025-08-18T08:12:03Z
texture-synthesis,No,Yes,No,No,,cargo,workflow,,,,0,,,
human-panic,Yes,Yes,Yes,Yes,coveralls/llvm-tools/tarpaulin,cargo,files/jobs/workflow,,,,0,,17544819469,2025-09-08T08:36:13Z
cairo,Yes,Yes,Yes,Yes,llvm-tools/upload-artifact,cargo,files/jobs/workflow,,,,0,,17652936214,2025-09-11T17:52:51Z
bon,No,Yes,Yes,Yes,llvm-tools,cargo,jobs/workflow,,,,0,,17643875002,2025-09-11T12:03:47Z
cargo-mobile2,No,Yes,Yes,No,,cargo,jobs/workflow,,,,0,,17476754659,2025-09-04T21:09:21Z
kalker,Yes,Yes,Yes,Yes,upload-artifact,cargo,files/jobs/workflow,,,,0,,17502667298,2025-09-05T19:30:10Z
risinglight,Yes,Yes,Yes,Yes,llvm-tools,cargo,files/jobs/workflow,,,,0,,16857344504,2025-08-10T04:37:33Z
taskwarrior-tui,No,Yes,Yes,Yes,coveralls/grcov/instrument-coverage/upload-artifact,,jobs/workflow,,,,0,,16820891639,2025-08-08T03:05:38Z
jumpy,No,No,No,Yes,cargo/upload-artifact,,workflow,,,,0,,16039678260,2025-07-03T01:47:16Z
zCore,Yes,Yes,No,Yes,cargo/coveralls/grcov/llvm-tools,cargo,files/workflow,,,,0,,,
bob,No,Yes,Yes,Yes,cargo/upload-artifact,cargo,jobs/logs/workflow,,,,0,,17585426928,2025-09-09T14:10:52Z
syncpack,No,Yes,Yes,Yes,cargo/upload-artifact,cargo,jobs/workflow,,,,0,,17652634126,2025-09-11T17:39:05Z
rustix,Yes,Yes,Yes,No,,cargo,files/jobs/logs/workflow,,,,0,,17617030740,2025-09-10T14:27:16Z
mainframer,Yes,No,No,Yes,upload-artifact,cargo,files/workflow,,,,0,,,
deploy-rs,No,No,No,No,,,,,,,0,,17561174265,2025-09-08T19:02:03Z
cargo-dist,No,Yes,Yes,Yes,upload-artifact,cargo,jobs/workflow,,,,0,,17641635499,2025-09-11T10:25:31Z
cfonts,No,Yes,Yes,Yes,cargo/coveralls/llvm-cov/llvm-tools/report-file,jest,jobs/logs/workflow,,,,0,,17506719355,2025-09-05T23:29:30Z
