name,Last Commit Date,Total Commits (since inception),Avg Commits/Weekday (Mon–Fri)
NiklasEi/bevy_asset_loader,2025-05-18,644,0.36
hoodie/notify-rust,2025-05-17,616,0.14
fabianlindfors/reshape,2025-05-15,183,0.16
gorilla-devs/ferium,2025-05-15,363,0.23
fereidani/kanal,2025-05-13,222,0.22
rust-cli/confy,2025-05-12,143,0.06
Detegr/rust-ctrlc,2025-05-11,214,0.05
moka-rs/moka,2025-05-08,1399,0.51
Keats/jsonwebtoken,2025-05-04,361,0.11
rsadsb/adsb_deku,2025-05-03,815,0.5
dragostis/chili,2025-05-01,67,0.3
gltf-rs/gltf,2025-05-01,869,0.25
rust-av/rust-av,2025-04-30,440,0.14
Abraxas-365/langchain-rust,2025-04-30,532,1.13
rust-windowing/glutin,2025-04-30,1912,0.49
Chleba/netscanner,2025-04-28,174,0.34
zkat/big-brain,2025-04-28,192,0.1
RustAudio/dasp,2025-04-27,357,0.11
zkat/miette,2025-04-27,547,0.39
avhz/RustQuant,2025-04-26,1023,1.11
Kobzol/cargo-wizard,2025-04-25,145,0.37
ihciah/shadow-tls,2025-04-25,52,0.05
vnt-dev/vnt,2025-04-25,661,0.74
quantumsheep/sshs,2025-04-23,163,0.14
wooorm/markdown-rs,2025-04-23,577,0.75
ramosbugs/oauth2-rs,2025-04-19,373,0.09
tokio-rs/loom,2025-04-17,233,0.11
geiger-rs/cargo-geiger,2025-04-14,995,0.31
nvzqz/divan,2025-04-14,480,0.77
kyoheiu/felix,2025-04-12,1596,1.18
kriomant/ch57x-keyboard-tool,2025-04-11,84,0.09
orium/rpds,2025-04-08,301,0.12
gsquire/topngx,2025-04-05,26,0.02
wssheldon/osintui,2025-04-01,71,0.09
Nazariglez/notan,2025-03-29,1152,0.33
plotters-rs/plotters,2025-03-27,1597,0.84
meilisearch/heed,2025-03-26,743,0.4
YiNNx/cmd-wrapped,2025-03-22,73,0.12
utkarshkukreti/select.rs,2025-03-19,257,0.08
seanmonstar/httparse,2025-03-19,244,0.08
lemunozm/message-io,2025-03-18,259,0.18
aramperes/onetun,2025-03-11,243,0.15
Macchina-CLI/macchina,2025-03-08,877,0.61
Keats/validator,2025-03-07,285,0.11
xacrimon/dashmap,2025-03-05,503,0.27
aevyrie/bevy_mod_picking,2025-03-04,779,0.53
sudipghimire533/ytui-music,2025-03-03,171,0.12
zesterer/flume,2025-03-02,345,0.19
tarkah/tickrs,2025-02-27,197,0.14
grovesNL/glow,2025-02-23,499,0.25
ufoscout/docker-compose-wait,2025-02-22,140,0.05
EFForg/apkeep,2025-02-22,228,0.22
robmikh/minesweeper-rs,2025-02-21,126,0.08
lipanski/mockito,2025-02-21,460,0.12
nnethercote/dhat-rs,2025-02-20,131,0.09
mullvad/windows-service-rs,2025-02-19,241,0.13
jkfran/killport,2025-02-19,128,0.22
pdf-rs/pdf,2025-02-18,772,0.25
Razaekel/noise-rs,2025-02-14,629,0.11
jrmuizel/raqote,2025-02-11,403,0.19
athre0z/color-backtrace,2025-02-09,134,0.06
3Hren/msgpack-rust,2025-02-05,1019,0.25
casbin/casbin-rs,2025-02-04,353,0.17
dimforge/salva,2025-02-02,174,0.1
Storyyeller/Krakatau,2025-02-01,16,0.02
rust-lang-nursery/lazy-static.rs,2025-01-29,280,0.07
max-niederman/ttyper,2025-01-28,204,0.12
Marwes/combine,2025-01-28,1244,0.35
ivanceras/svgbob,2025-01-27,618,0.21
Nilirad/bevy_prototype_lyon,2025-01-26,268,0.16
sharkdp/binocle,2025-01-21,134,0.08
image-rs/imageproc,2025-01-19,772,0.14
jprochazk/garde,2025-01-19,338,0.33
dirs-dev/directories-rs,2025-01-12,100,0.04
dirs-dev/dirs-rs,2025-01-12,63,0.02
someguynamedjosh/ouroboros,2025-01-11,236,0.11
NilsIrl/MozWire,2025-01-04,89,0.05
mikaelmello/inquire,2025-01-04,734,0.5
